data,variavel,grupo,ipca_acum_ano
2020-01-01,IPCA % acum. ano,6201007.Fisioterapeuta,3.29
2020-01-01,IPCA % acum. ano,6201010.Psicólogo,0.06
2020-01-01,IPCA % acum. ano,6202.Serviços laboratoriais e hospitalares,0.4
2020-01-01,IPCA % acum. ano,6202003.Exame de laboratório,0.4
2020-01-01,IPCA % acum. ano,6202004.Hospitalização e cirurgia,0.51
2020-01-01,IPCA % acum. ano,6202006.Exame de imagem,0.12
2020-01-01,IPCA % acum. ano,6203.Plano de saúde,0.6
2020-01-01,IPCA % acum. ano,6203001.Plano de saúde,0.6
2020-01-01,IPCA % acum. ano,63.Cuidados pessoais,-2.07
2020-01-01,IPCA % acum. ano,6301.Higiene pessoal,-2.07
2020-01-01,IPCA % acum. ano,6301001.Produto para cabelo,-0.23
2020-01-01,IPCA % acum. ano,6301002.Fralda descartável,0.67
2020-01-01,IPCA % acum. ano,6301004.Produto para barba,-0.72
2020-01-01,IPCA % acum. ano,6301006.Produto para pele,-6.51
2020-01-01,IPCA % acum. ano,6301007.Produto para higiene bucal,-0.61
2020-01-01,IPCA % acum. ano,6301010.Produto para unha,1.01
2020-01-01,IPCA % acum. ano,6301011.Perfume,-4.66
2020-01-01,IPCA % acum. ano,6301014.Desodorante,-0.06
2020-01-01,IPCA % acum. ano,6301015.Absorvente higiênico,-0.46
2020-01-01,IPCA % acum. ano,6301016.Sabonete,0.38
2020-01-01,IPCA % acum. ano,6301017.Papel higiênico,-0.28
2020-01-01,IPCA % acum. ano,6301020.Artigos de maquiagem,-2.72
2020-01-01,IPCA % acum. ano,7.Despesas pessoais,0.35
2020-01-01,IPCA % acum. ano,71.Serviços pessoais,0.24
2020-01-01,IPCA % acum. ano,7101.Serviços pessoais,0.24
2020-01-01,IPCA % acum. ano,7101001.Costureira,0.24
2020-01-01,IPCA % acum. ano,7101005.Manicure,0.29
2020-01-01,IPCA % acum. ano,7101010.Empregado doméstico,0.39
2020-01-01,IPCA % acum. ano,7101011.Cabeleireiro e barbeiro,0.2
2020-01-01,IPCA % acum. ano,7101014.Depilação,-0.31
2020-01-01,IPCA % acum. ano,7101034.Cartório,1.42
2020-01-01,IPCA % acum. ano,7101036.Despachante,0.55
2020-01-01,IPCA % acum. ano,7101076.Serviço bancário,0.02
